1 .  ('Chennai Super Kings', 'Faf Du Plessis', 43, 2.22, 5.11, 'Batsman', 51, 0, datetime.date(2003, 2, 20))
2 .  ('Chennai Super Kings', 'Ambati Rayudu', 66, 6.81, 4.32, 'Batsman', 93, 1, datetime.date(2010, 4, 22))
3 .  ('Chennai Super Kings', 'Ravindra Jadeja', 8, 2.43, 6.32, 'AllRounder', 99, 34, datetime.date(2005, 7, 19))
4 .  ('Chennai Super Kings', 'Shardul Thakur', 11, 5.89, 4.23, 'AllRounder', 103, 88, datetime.date(2012, 11, 23))
5 .  ('Chennai Super Kings', 'Dwayne Bravo', 47, 3.99, 7.82, 'Bowler', 66, 30, datetime.date(2007, 12, 10))
6 .  ('Chennai Super Kings', 'Sam Curran', 32, 4.53, 2.16, 'AllRounder', 44, 52, datetime.date(2009, 9, 26))
7 .  ('Chennai Super Kings', 'Ruturaj Gaikwad', 32, 3.15, 7.21, 'Batsman', 69, 0, datetime.date(2003, 1, 21))
8 .  ('Chennai Super Kings', 'Deepak Chahar', 51, 1.12, 2.82, 'Bowler', 12, 55, datetime.date(2005, 10, 31))
9 .  ('Chennai Super Kings', 'Mahendra Singh Dhoni', 7, 7.96, 8.05, 'WicketKeeper', 115, 12, datetime.date(2000, 6, 14))
10 .  ('Chennai Super Kings', 'Moeen Ali', 42, 1.41, 3.59, 'Batsman', 82, 9, datetime.date(2008, 3, 5))
11 .  ('Chennai Super Kings', 'Suresh Raina', 54, 4.12, 6.78, 'Batsman', 101, 5, datetime.date(2001, 8, 4))
12 .  ('Delhi Capitals', 'Shimron Hetmyer', 65, 6.78, 8.63, 'Batsman', 102, 0, datetime.date(2006, 6, 27))
13 .  ('Delhi Capitals', 'Ajinkya Rahane', 767, 8.34, 5.63, 'WicketKeeper', 101, 0, datetime.date(2004, 8, 11))
14 .  ('Delhi Capitals', 'Prithvi Shaw', 34, 8.92, 9.52, 'Batsman', 118, 0, datetime.date(2003, 3, 23))
15 .  ('Delhi Capitals', 'Amit Mishra', 99, 2.09, 1.93, 'Bowler', 9, 101, datetime.date(2009, 6, 19))
16 .  ('Delhi Capitals', 'Rishabh Pant', 55, 6.67, 8.24, 'Batsman', 162, 2, datetime.date(2000, 2, 24))
